iter	MultiClass
0	2.081897427
1	2.000808429
2	1.935687492
3	1.883761155
4	1.8405791
5	1.805129626
6	1.77500596
7	1.749879662
8	1.728749632
9	1.71080734
10	1.694443681
11	1.681361573
12	1.670043383
13	1.659336478
14	1.649245598
15	1.64037508
16	1.631296544
17	1.624442265
18	1.617689462
19	1.612524132
20	1.608079662
21	1.603877398
22	1.599828041
23	1.596729844
24	1.594151665
25	1.591241907
26	1.587513032
27	1.585572277
28	1.582720117
29	1.580545794
30	1.578277711
31	1.575796976
32	1.573302063
33	1.571972215
34	1.570576112
35	1.569833611
36	1.56756634
37	1.566251242
38	1.565031635
39	1.564367948
40	1.563767276
41	1.562037835
42	1.560800763
43	1.560032578
44	1.559404068
45	1.558155379
46	1.556995717
47	1.556261375
48	1.555327181
49	1.553996015
50	1.553520227
51	1.553144161
52	1.552390507
53	1.551310406
54	1.550851172
55	1.549936767
56	1.549368682
57	1.549021771
58	1.548564502
59	1.54813231
60	1.547423744
61	1.547002226
62	1.546429668
63	1.545890797
64	1.544662904
65	1.544189502
66	1.543444558
67	1.542595685
68	1.542117931
69	1.541663464
70	1.541314272
71	1.541001415
72	1.540605619
73	1.540008174
74	1.539731407
75	1.539292697
76	1.538894858
77	1.537954673
78	1.537444017
79	1.537116641
80	1.536413301
81	1.536244579
82	1.535850044
83	1.535169808
84	1.534413361
85	1.53397674
86	1.533289739
87	1.533006215
88	1.532155721
89	1.531764543
90	1.531028436
91	1.530175562
92	1.529893365
93	1.529565673
94	1.529127354
95	1.5289002
96	1.528551358
97	1.52765344
98	1.526926212
99	1.526441145
100	1.526176664
101	1.525995981
102	1.525654356
103	1.525299064
104	1.52487259
105	1.523974516
106	1.523604211
107	1.52316937
108	1.522838966
109	1.522488953
110	1.522187512
111	1.522014631
112	1.521586066
113	1.521025193
114	1.520382091
115	1.520017157
116	1.519410598
117	1.519179874
118	1.518795517
119	1.518374696
120	1.517750064
121	1.517051197
122	1.516752089
123	1.516538639
124	1.51620254
125	1.515794181
126	1.515336712
127	1.514844412
128	1.514289637
129	1.513784579
130	1.513573175
131	1.512910496
132	1.512234254
133	1.511775368
134	1.511244138
135	1.510870342
136	1.510595029
137	1.510029454
138	1.509766418
139	1.509193658
140	1.508847406
141	1.508549335
142	1.508206086
143	1.507799653
144	1.507341573
145	1.50689797
146	1.506659197
147	1.506042545
148	1.505817531
149	1.505456023
150	1.505001151
151	1.504797711
152	1.5045777
153	1.504080225
154	1.5038276
155	1.503590746
156	1.503252067
157	1.503015732
158	1.502827467
159	1.502442228
160	1.502025219
161	1.501466296
162	1.50098988
163	1.500696892
164	1.500066767
165	1.499838479
166	1.499563394
167	1.499081344
168	1.498439651
169	1.498106876
170	1.497789054
171	1.497343355
172	1.497136935
173	1.496544299
174	1.496169078
175	1.495865852
176	1.495534885
177	1.495305387
178	1.494905647
179	1.494633116
180	1.494522339
181	1.49402604
182	1.493767543
183	1.493489737
184	1.493019589
185	1.492762135
186	1.492456338
187	1.492150034
188	1.491867808
189	1.491696632
190	1.491473188
191	1.491375437
192	1.490736115
193	1.490528523
194	1.490172833
195	1.489790727
196	1.489583487
197	1.489369045
198	1.489250295
199	1.488902034
200	1.488694437
201	1.488336348
202	1.488031094
203	1.487773522
204	1.487450244
205	1.48717548
206	1.486867727
207	1.486579092
208	1.486254149
209	1.486109882
210	1.485900868
211	1.485496646
212	1.485013579
213	1.484616623
214	1.484304243
215	1.484128391
216	1.483880954
217	1.483554869
218	1.483321713
219	1.482992928
220	1.482727399
221	1.482538044
222	1.4822332
223	1.48210669
224	1.481914079
225	1.481599744
226	1.481458066
227	1.481089439
228	1.480760111
229	1.480476448
230	1.480150979
231	1.479864554
232	1.479627584
233	1.479437532
234	1.479174883
235	1.478814979
236	1.478455988
237	1.478169393
238	1.477890201
239	1.477555308
240	1.477335024
241	1.476934151
242	1.476531054
243	1.476337745
244	1.476157511
245	1.475877661
246	1.475695346
247	1.475370649
248	1.475068954
249	1.474880281
250	1.474584681
251	1.47433241
252	1.474149557
253	1.473638366
254	1.473416712
255	1.473145154
256	1.472782391
257	1.472638027
258	1.472464494
259	1.472089249
260	1.471807256
261	1.471512001
262	1.471213294
263	1.471122787
264	1.47071496
265	1.470514605
266	1.470230102
267	1.47006318
268	1.469666109
269	1.469430007
270	1.469291102
271	1.468993367
272	1.468703157
273	1.46840766
274	1.468162711
275	1.467975098
276	1.467616779
277	1.467225584
278	1.466886696
279	1.466687044
280	1.466448929
281	1.466262316
282	1.46594705
283	1.4656907
284	1.4654936
285	1.465230094
286	1.464961993
287	1.464718751
288	1.464503216
289	1.464226458
290	1.464107843
291	1.463876322
292	1.463639005
293	1.463188328
294	1.462976746
295	1.462713236
296	1.462505924
297	1.462303753
298	1.462127523
299	1.461893273
300	1.461493225
301	1.461230333
302	1.4609066
303	1.460756523
304	1.460380614
305	1.460249125
306	1.46001031
307	1.459835971
308	1.459519617
309	1.459206491
310	1.458923156
311	1.458643791
312	1.458110553
