iter	Passed	Remaining
0	26	26486
1	48	24351
2	70	23448
3	92	22969
4	113	22584
5	134	22326
6	157	22359
7	178	22154
8	191	21096
9	216	21428
10	241	21725
11	265	21847
12	287	21835
13	309	21790
14	331	21762
15	353	21764
16	374	21676
17	395	21595
18	418	21587
19	440	21603
20	462	21553
21	485	21591
22	509	21647
23	533	21680
24	555	21649
25	575	21566
26	598	21560
27	620	21533
28	641	21484
29	661	21402
30	684	21390
31	705	21351
32	727	21327
33	750	21314
34	769	21208
35	791	21196
36	809	21078
37	832	21085
38	854	21061
39	875	21010
40	898	21014
41	919	20966
42	940	20933
43	961	20894
44	982	20850
45	1004	20826
46	1024	20782
47	1044	20724
48	1070	20780
49	1090	20710
50	1110	20656
51	1131	20636
52	1152	20600
53	1174	20574
54	1197	20566
55	1220	20572
56	1240	20517
57	1264	20539
58	1289	20571
59	1315	20608
60	1338	20602
61	1363	20630
62	1384	20594
63	1406	20569
64	1428	20549
65	1453	20567
66	1475	20553
67	1499	20553
68	1521	20530
69	1541	20485
70	1564	20474
71	1585	20440
72	1607	20410
73	1629	20388
74	1651	20373
75	1678	20412
76	1702	20407
77	1723	20369
78	1745	20347
79	1765	20298
80	1787	20275
81	1807	20233
82	1831	20234
83	1857	20256
84	1878	20225
85	1901	20207
86	1920	20151
87	1940	20111
88	1962	20084
89	1981	20039
90	2001	19991
91	2022	19965
92	2042	19915
93	2062	19883
94	2083	19845
95	2103	19804
96	2121	19749
97	2142	19721
98	2162	19684
99	2183	19654
100	2203	19610
101	2221	19559
102	2241	19524
103	2261	19483
104	2282	19458
105	2302	19419
106	2323	19391
107	2344	19361
108	2366	19344
109	2385	19298
110	2406	19270
111	2424	19226
112	2447	19212
113	2468	19184
114	2492	19177
115	2511	19139
116	2532	19110
117	2553	19089
118	2576	19073
119	2596	19044
120	2619	19032
121	2645	19039
122	2667	19020
123	2690	19007
124	2710	18971
125	2732	18953
126	2756	18946
127	2777	18924
128	2799	18902
129	2822	18890
130	2842	18852
131	2865	18840
132	2884	18801
133	2902	18754
134	2924	18738
135	2944	18703
136	2966	18687
137	2989	18675
138	3010	18650
139	3032	18626
140	3052	18596
141	3072	18566
142	3095	18551
143	3115	18519
144	3138	18508
145	3160	18487
146	3181	18462
147	3202	18437
148	3222	18406
149	3244	18383
150	3262	18344
151	3281	18308
152	3301	18278
153	3321	18249
154	3341	18219
155	3361	18184
156	3380	18148
157	3400	18121
158	3420	18094
159	3439	18058
160	3460	18035
161	3481	18009
162	3501	17977
163	3522	17957
164	3541	17920
165	3560	17889
166	3583	17875
167	3602	17842
168	3621	17808
169	3640	17776
170	3660	17744
171	3681	17721
172	3702	17700
173	3722	17670
174	3740	17635
175	3761	17609
176	3783	17592
177	3803	17566
178	3823	17535
179	3843	17510
180	3863	17480
181	3882	17451
182	3905	17436
183	3927	17416
184	3948	17393
185	3970	17374
186	3990	17348
187	4012	17331
188	4032	17305
189	4057	17296
190	4079	17280
191	4101	17259
192	4123	17242
193	4144	17217
194	4164	17190
195	4183	17159
196	4204	17137
197	4224	17113
198	4248	17102
199	4271	17084
200	4292	17064
201	4312	17035
202	4333	17015
203	4354	16992
204	4376	16972
205	4396	16946
206	4417	16923
207	4438	16898
208	4457	16869
209	4480	16854
210	4500	16827
211	4521	16806
212	4557	16840
213	4584	16837
214	4604	16813
215	4627	16797
216	4650	16779
217	4676	16774
218	4698	16756
219	4717	16726
220	4737	16697
221	4756	16667
222	4777	16645
223	4800	16629
224	4822	16609
225	4844	16590
226	4864	16566
227	4888	16551
228	4909	16527
229	4927	16495
230	4947	16470
231	4967	16443
232	4988	16420
233	5010	16400
234	5031	16378
235	5051	16351
236	5073	16332
237	5092	16303
238	5111	16274
239	5134	16257
240	5154	16233
241	5173	16205
242	5193	16179
243	5214	16155
244	5235	16134
245	5255	16108
246	5276	16084
247	5297	16062
248	5316	16035
249	5335	16005
250	5354	15977
251	5375	15956
252	5392	15923
253	5412	15897
254	5433	15875
255	5453	15849
256	5472	15820
257	5494	15801
258	5515	15778
259	5534	15752
260	5554	15727
261	5573	15700
262	5593	15675
263	5616	15657
264	5635	15631
265	5656	15608
266	5676	15584
267	5699	15566
268	5719	15543
269	5740	15521
270	5762	15502
271	5782	15477
272	5802	15453
273	5822	15428
274	5843	15405
275	5866	15387
276	5885	15361
277	5904	15334
278	5928	15320
279	5951	15303
280	5972	15281
281	5991	15255
282	6012	15232
283	6032	15208
284	6052	15185
285	6072	15160
286	6095	15142
287	6116	15122
288	6136	15095
289	6155	15070
290	6175	15047
291	6196	15024
292	6218	15003
293	6239	14982
294	6258	14956
295	6280	14938
296	6301	14916
297	6321	14891
298	6340	14865
299	6361	14844
300	6381	14820
301	6402	14796
302	6424	14779
303	6442	14750
304	6462	14725
305	6482	14701
306	6502	14678
307	6521	14651
308	6542	14631
309	6562	14606
310	6582	14582
311	6603	14560
312	6625	14542
313	6650	14529
314	6671	14507
315	6691	14483
316	6712	14461
317	6733	14441
318	6754	14419
319	6775	14398
320	6795	14374
321	6814	14348
322	6835	14326
323	6857	14307
324	6878	14286
325	6898	14262
326	6919	14240
327	6940	14219
328	6960	14196
329	6980	14173
330	6999	14147
331	7022	14129
332	7041	14104
333	7063	14085
334	7085	14064
335	7104	14040
336	7125	14017
337	7146	13996
338	7168	13976
339	7188	13955
340	7209	13933
341	7229	13910
342	7250	13887
343	7272	13868
344	7292	13844
345	7313	13824
346	7334	13802
347	7355	13780
348	7376	13759
349	7395	13734
350	7416	13713
351	7438	13693
352	7459	13673
353	7479	13649
354	7498	13623
355	7520	13605
356	7541	13583
357	7560	13558
358	7580	13535
359	7603	13516
360	7622	13492
361	7642	13469
362	7663	13448
363	7685	13429
364	7706	13407
365	7728	13387
366	7750	13368
367	7771	13347
368	7792	13324
369	7812	13303
370	7834	13282
371	7857	13265
372	7878	13244
373	7901	13226
374	7922	13204
375	7942	13180
376	7962	13157
377	7984	13138
378	8006	13118
379	8025	13094
380	8045	13070
381	8068	13053
382	8092	13035
383	8113	13015
384	8133	12992
385	8157	12975
386	8178	12954
387	8199	12932
388	8220	12911
389	8240	12888
390	8263	12871
391	8283	12847
392	8304	12825
393	8322	12800
394	8341	12776
395	8362	12754
396	8383	12733
397	8403	12711
398	8422	12687
399	8444	12666
400	8462	12641
401	8482	12618
402	8503	12597
403	8523	12574
404	8542	12550
405	8562	12527
406	8583	12505
407	8602	12482
408	8622	12460
409	8645	12441
410	8664	12416
411	8685	12395
412	8705	12373
413	8726	12352
414	8750	12334
415	8772	12315
416	8794	12295
417	8815	12274
418	8835	12251
419	8854	12228
420	8874	12204
421	8895	12183
422	8916	12162
423	8938	12142
424	8960	12122
425	8979	12099
426	8999	12076
427	9020	12055
428	9043	12036
429	9062	12012
430	9082	11990
431	9102	11967
432	9123	11946
433	9144	11926
